strain	sex	animal_id	age	gait_score
129S1/SvImJ	f	00068B1CAD	12	3
129S1/SvImJ	m	00068CDF96	12	2
129S1/SvImJ	m	00068CE196	12	2
129S1/SvImJ	m	00068D135D	12	2
129S1/SvImJ	m	00068CDE95	12	3
129S1/SvImJ	m	00068CE500	12	3
129S1/SvImJ	m	00068D02B0	12	3
129S1/SvImJ	m	00068D0502	12	3
129S1/SvImJ	m	00068D42D3	12	3
A/J	f	00068B1801	12	1
A/J	f	00068B1C33	12	1
A/J	f	00068B206F	12	1
A/J	f	00068AFA4E	12	2
A/J	f	00068B2C08	12	2
A/J	f	00068B24B8	12	3
A/J	m	00068d31e9	12	2
A/J	m	00068d207d	12	3
A/J	m	00068d4236	12	3
AKR/J	f	F1	12	1
AKR/J	m	AKR M1	12	1
AKR/J	m	AKR M3	12	1
AKR/J	m	AKR M4	12	1
AKR/J	m	AKR M5	12	1
AKR/J	m	AKR M6	12	1
AKR/J	m	AKR M7	12	1
AKR/J	m	AKR M2	12	2
BALB/cByJ	f	00068B0A4C	12	2
BALB/cByJ	f	00068B0508	12	3
BALB/cByJ	f	00068B0D22	12	3
BALB/cByJ	f	00068B0E4D	12	3
BALB/cByJ	f	00068B1D53	12	3
BALB/cByJ	f	00068B2436	12	3
BALB/cByJ	f	00068B260F	12	3
BALB/cByJ	f	00068B27B1	12	3
BALB/cByJ	m	00068AFE4B	12	3
BALB/cByJ	m	00068B177C	12	3
BALB/cByJ	m	00068CD521	12	3
BALB/cByJ	m	00068CF5B6	12	3
BALB/cByJ	m	00068D0C55	12	3
BALB/cByJ	m	00068D0CF3	12	3
BALB/cByJ	m	00068D2C59	12	3
BALB/cByJ	m	00068D4C4D	12	3
BTBR T+ tf/J	f	00068AF450	12	3
BTBR T+ tf/J	f	00068afe43	12	3
BTBR T+ tf/J	f	00068b0285	12	3
BTBR T+ tf/J	f	00068b04db	12	3
BTBR T+ tf/J	f	00068b0528	12	3
BTBR T+ tf/J	f	00068b1031	12	3
BTBR T+ tf/J	f	00068b1da8	12	3
BTBR T+ tf/J	f	00068b2737	12	3
BTBR T+ tf/J	m	00068b1359	12	2
BTBR T+ tf/J	m	00068af557	12	3
BTBR T+ tf/J	m	00068b118e	12	3
BTBR T+ tf/J	m	00068b11f6	12	3
BTBR T+ tf/J	m	00068b14bb	12	3
BTBR T+ tf/J	m	00068b15d9	12	3
BTBR T+ tf/J	m	00068b175e	12	3
BTBR T+ tf/J	m	00068b2428	12	3
BUB/BnJ	m	00068B2B45	12	1
C3H/HeJ	f	00068B0291	12	2
C3H/HeJ	f	00068B20CD	12	2
C3H/HeJ	f	00068B0303	12	3
C3H/HeJ	f	00068B1E00	12	3
C3H/HeJ	f	00068B1ED4	12	3
C3H/HeJ	f	00068af4c4	12	3
C3H/HeJ	f	00068b09e6	12	3
C3H/HeJ	f	00068b143d	12	3
C3H/HeJ	m	00068D1E76	12	1
C3H/HeJ	m	00068CF17E	12	2
C3H/HeJ	m	00068CEBDA	12	3
C3H/HeJ	m	00068CED4E	12	3
C3H/HeJ	m	00068CF8A3	12	3
C3H/HeJ	m	00068CFCC0	12	3
C3H/HeJ	m	00068D18C5	12	3
C3H/HeJ	m	00068D47E4	12	3
C57BL/10J	f	00068B08B5	12	3
C57BL/10J	f	00068CD5FD	12	3
C57BL/10J	f	00068CD932	12	3
C57BL/10J	f	00068CF9DF	12	3
C57BL/10J	f	00068D0695	12	3
C57BL/10J	f	00068D11F8	12	3
C57BL/10J	f	00068D2DFE	12	3
C57BL/10J	f	00068D4378	12	3
C57BL/10J	m	00068b2611	12	1
C57BL/10J	m	00068AF118	12	3
C57BL/10J	m	00068B003C	12	3
C57BL/10J	m	00068B1A3B	12	3
C57BL/10J	m	00068B1C23	12	3
C57BL/10J	m	00068B21B9	12	3
C57BL/10J	m	00068B26BC	12	3
C57BL/10J	m	00068B2733	12	3
C57BL/6J	m	00068CEDED	12	3
C57BL/6J	m	00068d0a0d	12	3
C57BL/6J	m	00069A0372	12	3
C57BL/6J	m	00069A046C	12	3
C57BL/6J	m	00069A060E	12	3
C57BL/6J	m	00069a0ca4	12	3
C57BL/6J	m	00069a224d	12	3
C57BL/6J	m	00069a2aba	12	3
C57BLKS/J	f	00068b0352	12	2
C57BLKS/J	f	00068b0d03	12	2
C57BLKS/J	f	00068D3533	12	3
C57BLKS/J	f	00068D4258	12	3
C57BLKS/J	f	00068afab3	12	3
C57BLKS/J	f	00068b2071	12	3
C57BLKS/J	m	00068AFBE6	12	1
C57BLKS/J	m	00068af6af	12	1
C57BLKS/J	m	00068af8a4	12	1
C57BLKS/J	m	00068b1e6e	12	1
C57BLKS/J	m	00068B1CE6	12	2
C57BLKS/J	m	00068b0aee	12	2
C57BLKS/J	m	00068B1C11	12	3
C57BR/cdJ	f	00068AF129	12	1
C57BR/cdJ	f	00068AF93E	12	1
C57BR/cdJ	f	00068AFD6A	12	2
C57BR/cdJ	f	00068B19CA	12	2
C57BR/cdJ	f	00068B2624	12	2
C57BR/cdJ	f	00068AF98D	12	3
C57BR/cdJ	f	00068AFE3F	12	3
C57BR/cdJ	f	00068B09C0	12	3
C57BR/cdJ	m	00069A0990	12	1
C57BR/cdJ	m	A2D1A	12	2
C57BR/cdJ	m	00069A19D7	12	3
C57BR/cdJ	m	00069A1A5A	12	3
C57BR/cdJ	m	00069A25B3	12	3
C57BR/cdJ	m	A1307	12	3
C57BR/cdJ	m	A2FF0	12	3
C57BR/cdJ	m	AZ1BA	12	3
C57L/J	f	000699fde2	12	3
C57L/J	f	00069a03c9	12	3
C57L/J	f	00069a03e0	12	3
C57L/J	f	00069a083c	12	3
C57L/J	f	00069a24f9	12	3
C57L/J	f	00069a289b	12	3
C57L/J	f	00069a2b63	12	3
