strain	sex	animal_id	age	HR	PR	QRS	QT	RR	ST
RIIIS/J	m	SC-7341	6	692	28.9	9.3	47.4	86.7	38.6
RIIIS/J	m	SC-4235	12	722	23.1	9.2	47	83.2	38.3
RIIIS/J	m	SC-4236	12	729	27.7	10.8	40.4	82.3	30
RIIIS/J	m	SC-4237	12	761	27.6	9.9	45.9	78.9	36.4
RIIIS/J	m	SC-4238	12	729	26.7	10.1	46.5	82.3	36.9
RIIIS/J	m	SC-4239	12	760	23.1	8.2	44.7	80.5	37
RIIIS/J	m	SC-4251	12	768	24.4	9.7	45.1	78.1	35.9
RIIIS/J	m	SC-4252	12	738	24.9	10.2	46.5	81.4	36.7
RIIIS/J	m	SC-4240	12	747	27.4	11.1	46.3	80.4	35.7
RIIIS/J	m	SC-5762	20	701	26.3	10.4	44.3	85.6	34.3
RIIIS/J	m	SC-5763	20	658	32.3	12.3	47.8	91.3	36.1
RIIIS/J	m	SC-5764	20	746	27.1	10.7	46.4	80.4	36.1
RIIIS/J	m	SC-5757	20	753	27.1	11.2	46.1	79.6	35.4
RIIIS/J	m	SC-5758	20	640	27.7	13.1	50.3	93.7	37.7
RIIIS/J	m	SC-5759	20	602	30.5	11.6	47.9	99.9	36.8
RIIIS/J	m	SC-5760	20	753	28.8	12.1	46.1	79.7	34.5
RIIIS/J	m	SC-5761	20	725	29.1	9.3	43.7	82.8	34.9
SJL/J	f	SC-7610	6	681	29.9	10.9	42.6	88.1	32.2
SJL/J	f	SC-7611	6	642	27.6	12.9	45.7	93.5	33.3
SJL/J	f	SC-7612	6	763	27.8	11.5	40.5	78.6	29.5
SJL/J	f	SC-7613	6	743	27.3	11.4	37.7	80.8	26.8
SJL/J	f	SC-7614	6	687	27.6	11.5	38.4	87.4	27.3
SJL/J	f	SC-7615	6	677	31.1	12.6	42.1	88.9	30.1
SJL/J	f	SC-7767	6	656	29	11.2	44	92.1	33.3
SJL/J	f	SC-7768	6	741	27.2	11.2	36.7	81	26
SJL/J	f	SC-4409	12	680	29.7	13.5	44.3	88.3	31.2
SJL/J	f	SC-4410	12	677	30.8	11.5	43.7	88.6	32.8
SJL/J	f	SC-4411	12	545	29.8	15.6	54.9	112	39.7
SJL/J	f	SC-4412	12	735	30.6	11.5	41.2	81.6	30.1
SJL/J	f	SC-4413	12	742	27.9	12.2	35.2	80.9	23.5
SJL/J	f	SC-4421	12	755	28.3	12.7	39.3	79.6	27.1
SJL/J	f	SC-4422	12	657	26.1	12.5	45.4	91.6	33.4
SJL/J	f	SC-4423	12	653	24.4	10.9	45.4	96.7	35
SJL/J	m	SC-7771	6	783	27.7	11.1	36.3	76.7	25.8
SJL/J	m	SC-7205	6	794	17.1	7.8	41.4	75.5	34.1
SJL/J	m	SC-7206	6	774	29.2	11.2	37.3	77.6	26.6
SJL/J	m	SC-7207	6	808	28.6	11.4	36.9	74.3	26
SJL/J	m	SC-7208	6	761	27.7	11.5	36.9	78.9	25.9
SJL/J	m	SC-7209	6	771	29	11.7	36.7	77.8	25.4
SJL/J	m	SC-7210	6	758	27.4	11.1	36.1	79.2	25.4
SJL/J	m	SC-7213	6	774	26.8	10.4	37.5	77.6	27.6
SM/J	f	SC-6880	6	773	19.6	10.3	43.3	77.6	33.5
SM/J	f	SC-6881	6	699	22.6	9.8	47.5	85.9	38.1
SM/J	f	SC-6882	6	742	27	10.7	42.1	80.9	31.9
SM/J	f	SC-6883	6	742	26.4	11.1	46.7	80.8	36.1
SM/J	f	SC-6884	6	774	17.3	9.2	42.3	77.5	33.6
SM/J	f	SC-6885	6	771	27.6	9.8	43.4	77.9	34.1
SM/J	f	SC-6886	6	722	22.5	9.5	45.5	83.1	36.6
SM/J	f	SC-6887	6	729	22.2	9.1	45.5	82.3	36.9
SM/J	f	SC-4555	12	757	19	9.4	44.5	79.3	35.6
SM/J	f	SC-4556	12	723	22.9	9.3	46.1	83	37.3
SM/J	f	SC-4557	12	753	31.4	11.3	45.2	79.7	34.4
SM/J	f	SC-4544	12	792	19.5	9.3	42.3	75.8	33.5
SM/J	f	SC-4545	12	787	18.4	9.5	42.5	76.2	33.5
SM/J	f	SC-4546	12	759	28.5	13.8	43.9	79.1	30.7
SM/J	f	SC-4547	12	695	29	11.4	44.2	86.3	33.4
SM/J	f	SC-4641	20	763	17.5	9.9	44.4	78.7	34.9
SM/J	f	SC-4642	20	784	29.8	10.9	41.4	76.6	31
SM/J	f	SC-4643	20	603	26.3	9.3	47	99.6	38.1
SM/J	f	SC-4644	20	705	30.9	10.4	40.2	85.1	30.3
SM/J	f	SC-4645	20	762	23.3	10.2	44.4	78.7	34.7
SM/J	f	SC-4648	20	746	19.2	10.7	43.2	80.4	32.9
SM/J	f	SC-4649	20	688	29.6	11.5	45.5	87.3	34.6
SM/J	f	SC-4650	20	743	18.9	9.7	44.5	80.7	35.4
SM/J	m	SC-7412	6	744	18.7	10.1	45.2	80.6	35.6
SM/J	m	SC-7069	6	746	18	10.8	43.7	80.4	33.4
SM/J	m	SC-7070	6	772	29.3	11.7	37.8	77.8	26.6
SM/J	m	SC-7071	6	778	29.6	9.8	38.8	77.1	29.5
SM/J	m	SC-7065	6	777	27.6	10.9	41.6	77.2	31.2
SM/J	m	SC-7066	6	761	18.6	8.7	43.5	78.9	35.3
SM/J	m	SC-7067	6	765	29.8	10.6	37.8	78.4	27.7
SM/J	m	SC-7068	6	766	18.6	10.5	44	78.4	34.1
SM/J	m	SC-4563	12	745	31.8	10.6	40.5	80.6	30.4
SM/J	m	SC-4568	12	740	25.4	11.1	42.9	81.1	32.3
SM/J	m	SC-4569	12	782	29.4	9.7	36.8	76.7	27.6
SM/J	m	SC-4570	12	764	18.5	10	43.4	78.5	33.9
SM/J	m	SC-4571	12	692	29.5	8.8	39.3	86.7	31
SM/J	m	SC-4572	12	753	19.1	9.2	44.6	79.7	35.9
SM/J	m	SC-4564	12	752	30.5	10.5	45.4	79.8	35.4
SM/J	m	SC-4565	12	752	20.7	9.9	44.5	79.8	35.1
SM/J	m	SC-4685	20	754	30.3	10.5	44.9	79.6	34.9
SM/J	m	SC-4686	20	743	27.5	10.1	44.8	80.8	35.2
SM/J	m	SC-4687	20	735	27.8	12	44.5	81.6	33
SM/J	m	SC-4688	20	703	27.8	10.3	44.5	85.4	34.8
SM/J	m	SC-4689	20	730	30.6	9.8	41.5	82.2	32.3
SM/J	m	SC-4690	20	757	27.6	11.6	44.2	79.2	33.1
SM/J	m	SC-4691	20	694	31	11.7	40.8	86.5	29.6
SM/J	m	SC-4692	20	726	28.8	10.1	45.1	82.7	35.5
SWR/J	f	SC-7236	6	692	30.5	11.8	45.8	89.4	34.4
SWR/J	f	SC-7237	6	745	30.4	11.6	44.5	80.5	33.4
SWR/J	f	SC-7238	6	759	32	10.4	42.9	79	33
SWR/J	f	SC-7231	6	803	29	10.4	40.7	74.7	30.8
SWR/J	f	SC-7232	6	708	29.8	10.7	43.3	84.8	33.1
SWR/J	f	SC-7233	6	762	29.1	10.9	42.5	78.8	32.1
SWR/J	f	SC-7234	6	774	20.2	10.3	40.1	77.5	30.3
SWR/J	f	SC-7235	6	699	28.5	10.7	42.2	85.9	32
SWR/J	f	SC-4714	12	773	30.3	10.6	39.8	77.7	29.7
SWR/J	f	SC-4715	12	756	29.6	11.9	40	79.4	28.7
SWR/J	f	SC-4716	12	748	30.1	10.4	41.4	80.3	31.5
SWR/J	f	SC-4717	12	746	32.5	11.9	43.1	80.4	31.7
SWR/J	f	SC-4718	12	757	32	11.8	42	79.2	30.8
SWR/J	f	SC-4726	12	751	32.3	11	41.5	79.9	31
SWR/J	f	SC-4727	12	693	34.2	11.2	43.9	86.6	33.2
SWR/J	f	SC-4728	12	766	31.5	11	41.3	78.3	30.8
SWR/J	f	SC-4788	20	769	30.3	12.1	41.3	78.1	29.7
SWR/J	f	SC-4790	20	754	18	10.8	41.8	79.6	31.5
SWR/J	f	SC-4791	20	785	30.3	10.7	37.8	76.4	27.5
SWR/J	f	SC-4796	20	759	31.8	12.3	39.3	79	27.5
SWR/J	m	SC-7241	6	729	33	10.3	45.8	82.3	36.1
SWR/J	m	SC-7242	6	742	31.9	11.7	44.7	80.9	33.4
SWR/J	m	SC-7214	6	751	32.2	12.1	41.2	79.9	29.6
SWR/J	m	SC-7215	6	700	34.7	10.9	42.3	85.7	31.9
SWR/J	m	SC-7216	6	685	31.3	11.7	42.4	87.6	31.1
SWR/J	m	SC-7217	6	816	27.4	10.4	38.2	73.5	28.4
SWR/J	m	SC-7218	6	713	31.7	9.7	39.6	84.1	30.4
SWR/J	m	SC-7219	6	643	31.7	13.2	48	93.3	35.3
SWR/J	m	SC-4706	12	690	35.2	11.1	43.6	87	33
SWR/J	m	SC-4707	12	753	30.1	11	41.7	79.8	31.2
SWR/J	m	SC-4708	12	719	31.4	10.8	42.7	83.5	32.4
SWR/J	m	SC-4709	12	734	32.3	11.7	43.6	81.7	32.3
SWR/J	m	SC-4711	12	743	32.5	11.8	46.1	80.8	34.8
SWR/J	m	SC-4712	12	759	30.4	11.5	44	79.2	33
SWR/J	m	SC-4713	12	662	21.3	10.8	48.2	90.6	37.9
SWR/J	m	SC-4799	20	768	28.4	10.2	39.9	78.2	30.2
SWR/J	m	SC-4801	20	738	31.6	12.6	44.5	81.3	32.4
SWR/J	m	SC-4802	20	761	27.4	13.8	43.3	78.8	30.1
SWR/J	m	SC-4803	20	705	21	12.4	42.8	85.1	30.9
SWR/J	m	SC-4805	20	771	12.6	12.1	43.4	77.8	31.9
SWR/J	m	SC-4806	20	765	31.3	10.5	39	78.5	29
SWR/J	m	SC-4807	20	774	31.2	11	39.7	77.5	29.2
