strain	sex	animal_id	age	body_weight_g	IGF1_ng-mL
CBA/J	f	SC-5087	18	40.3	315
NZW/LacJ	m	00068AFFBB	18	40.4	368
C57BR/cdJ	m	00069a0990	6	40.5	325
CBA/J	m	00068B1623	6	40.5	325
BTBR T+ tf/J	m	00068B1E2C	12	40.5	419
C57L/J	m	00068CE506	6	40.8	337
C57L/J	m	00068CE08C	6	40.9	336
CBA/J	m	00068B101F	6	40.9	300
BTBR T+ tf/J	m	00068B1B18	12	40.9	473
BTBR T+ tf/J	f	00068B1A93	12	41	469
NZW/LacJ	f	00068B0E98	12	41	367
CBA/J	m	00068B11A6	6	41.2	306
NOD.B10Sn-H2<b>/J	m	00069a0e15	12	41.2	397
C57BR/cdJ	m	00069a19d7	6	41.5	369
MRL/MpJ	m	00068B123A	12	41.5	354
SM/J	m	00068d396e	12	41.5	249
MRL/MpJ	f	00068CE2DC	12	41.6	400
NOD.B10Sn-H2<b>/J	f	00069a2347	12	41.6	395
NZW/LacJ	f	00068B1597	6	41.7	368
C57BR/cdJ	f	00068CF456	12	41.8	330
MRL/MpJ	m	00068B262C	12	41.8	284
AKR/J	m	00068AF20B	6	41.9	332
AKR/J	m	00068B22F3	6	41.9	334
KK/HlJ	f	00068D3CF5	6	41.9	425
KK/HlJ	f	00068CEDDD	12	42.2	383
BTBR T+ tf/J	f	00068AF768	6	42.3	454
BTBR T+ tf/J	m	00068B118F	6	42.3	301
C57L/J	m	00068CE506	12	42.3	300
MRL/MpJ	m	00068AF982	12	42.3	342
NZW/LacJ	f	00068B0F4E	18	42.4	435
NZW/LacJ	f	00068B2945	18	42.4	349
AKR/J	m	00068B064F	6	42.5	331
MRL/MpJ	m	00068B1E19	18	42.7	374
NZW/LacJ	m	00068B0AE3	18	42.8	390
NZW/LacJ	m	00068B15E3	18	42.8	370
CBA/J	m	00068AF618	6	42.9	320
MRL/MpJ	m	00068B17FC	12	42.9	387
NZW/LacJ	f	00068AF9D4	6	43.3	372
BTBR T+ tf/J	m	00068B1986	6	43.5	396
BTBR T+ tf/J	m	00068AFA3B	12	43.5	442
CBA/J	m	00068B06A5	6	43.6	337
C57L/J	m	00068CD81A	12	43.6	326
NZW/LacJ	m	00068B2099	18	43.7	376
CBA/J	f	SC-5084	18	43.8	338
MRL/MpJ	m	00068B1E19	12	43.9	375
AKR/J	f	SC-118	6	44.1	375
C57L/J	m	00068D07EF	6	44.1	319
MRL/MpJ	f	00068D19DA	6	44.1	387
NON/ShiLtJ	f	00068B0F56	12	44.2	472
NOD.B10Sn-H2<b>/J	f	00069a1bb6	12	44.4	372
NOD.B10Sn-H2<b>/J	m	SC-3340	12	44.4	458
MRL/MpJ	m	00068B17FC	6	44.7	410
BTBR T+ tf/J	f	00068AF768	12	44.7	504
C57BR/cdJ	m	00068B1ADF	12	44.7	356
NON/ShiLtJ	m	00068B15C8	6	44.8	326
CBA/J	m	00068B004D	6	45	319
BTBR T+ tf/J	m	00068AF68E	6	45.1	423
NOD.B10Sn-H2<b>/J	m	00069a0fef	12	45.2	365
BTBR T+ tf/J	f	00068B1205	12	45.5	431
NOD.B10Sn-H2<b>/J	f	SC-3434	12	45.5	346
NON/ShiLtJ	m	00068B15C8	12	45.5	389
NZW/LacJ	f	00068B1597	18	45.5	403
NZW/LacJ	f	00068B1597	12	45.6	386
CBA/J	f	000699f5cf	18	45.6	285
AKR/J	m	00068B165A	6	45.8	332
BTBR T+ tf/J	m	00068AF643	6	45.9	338
CBA/J	m	00068B101F	12	45.9	416
BTBR T+ tf/J	f	00068B1DFD	12	46.1	471
CBA/J	m	00068B28DB	6	46.2	331
NZO/HlLtJ	m	SC-5370	18	46.2	344
BTBR T+ tf/J	m	00068B0DF5	6	46.3	392
MRL/MpJ	f	00068CE2DC	6	46.5	389
NZW/LacJ	f	00068AF9D4	12	46.5	392
AKR/J	m	00068AF06C	6	46.7	364
CBA/J	m	00068AF618	12	46.7	367
BTBR T+ tf/J	m	00068B0DF5	12	46.9	362
MRL/MpJ	m	00068AF174	12	47	345
MRL/MpJ	m	00068B27A2	12	47	360
NON/ShiLtJ	m	00068B0671	6	47.7	364
MRL/MpJ	m	00068B262C	6	47.8	376
MRL/MpJ	m	00068B27A2	6	47.9	430
MRL/MpJ	m	00068B123A	6	48	497
NON/ShiLtJ	m	00068B224D	18	48	405
NON/ShiLtJ	m	00068B224D	6	48.1	345
NZW/LacJ	f	00068AF9D4	18	48.1	395
MRL/MpJ	m	00068B1E19	6	48.5	438
MRL/MpJ	f	00068D0794	6	48.8	401
MRL/MpJ	f	00068CE907	6	49.6	363
BTBR T+ tf/J	f	00068B11D0	12	49.7	485
MRL/MpJ	f	00068CF9B0	6	49.9	454
MRL/MpJ	m	00068AF982	6	50.1	398
MRL/MpJ	m	00068AFB99	6	50.2	410
AKR/J	m	00068B15C1	6	50.3	357
NON/ShiLtJ	m	00068B1A9F	12	50.5	376
NON/ShiLtJ	m	00068B0671	12	50.6	372
MRL/MpJ	f	00068CD7FF	12	50.8	332
BTBR T+ tf/J	f	00068AFF44	12	51.6	523
NZO/HlLtJ	f	000699f5af	18	52.1	433
NON/ShiLtJ	m	00068B224D	12	52.7	410
MRL/MpJ	m	00068AF174	6	53.2	421
MRL/MpJ	f	00068CDBE2	12	53.6	374
NZO/HlLtJ	f	SC-319	6	54.6	440
NZO/HlLtJ	f	00068AF8BF	18	55.2	489
MRL/MpJ	f	00068CD5C0	6	55.6	405
NZO/HlLtJ	m	SC-5034	12	55.7	435
MRL/MpJ	f	00068CDBE2	6	56.9	388
MRL/MpJ	f	00068CD7FF	6	58.7	371
NZO/HlLtJ	f	00068B1467	18	60.6	384
NZO/HlLtJ	f	000699fd1f	18	61.6	452
NZO/HlLtJ	m	00068D4C05	6	62.5	408
NZO/HlLtJ	f	00068B0DB5	12	62.6	380
NZO/HlLtJ	f	00068B0932	12	62.9	418
NZO/HlLtJ	m	00068CDAF8	6	63.3	354
NZO/HlLtJ	m	00068D4C05	18	66.5	367
NZO/HlLtJ	m	SC-5033	6	66.9	369
NZO/HlLtJ	f	00068B0932	6	67.2	405
NZO/HlLtJ	f	00068AFE33	6	67.6	417
NZO/HlLtJ	m	SC-314	6	67.6	375
NZO/HlLtJ	f	00068B1467	6	68.4	443
NZO/HlLtJ	f	SC-311	6	68.4	473
NZO/HlLtJ	m	SC-5035	6	68.4	409
NZO/HlLtJ	m	SC-5032	6	68.7	428
NZO/HlLtJ	f	00068AFE33	18	68.9	419
NZO/HlLtJ	f	00068B0DB5	6	69.1	487
NZO/HlLtJ	m	00068CDAF8	12	69.4	326
NZO/HlLtJ	f	00068B0662	18	69.7	472
NZO/HlLtJ	m	SC-5034	6	70.5	386
NZO/HlLtJ	m	00068B2653	18	70.8	330
NZO/HlLtJ	f	00068B1467	12	71.3	416
NZO/HlLtJ	f	00068B0662	6	71.6	483
NZO/HlLtJ	f	00068B1A43	18	71.7	403
NZO/HlLtJ	f	00068B0D28	6	72	446
NZO/HlLtJ	f	00068AFE33	12	73.8	416
NZO/HlLtJ	f	00068B0D28	12	75	426
NZO/HlLtJ	m	00068B071E	18	75.6	352
NZO/HlLtJ	f	00068B0662	12	76	455
NZO/HlLtJ	m	00068B2B93	18	79.8	303
NZO/HlLtJ	m	00068D4C05	12	84.3	421
AKR/J	m	00068AFA2	6		138
PWD/PhJ	m	SC-66	6		224
PWD/PhJ	m	SC-63	6		278
PWD/PhJ	m	SC-29	6		332
