strain	sex	animal_id	age	percent_MME	urine_albumin_ug-dL	urine_creatinine_mg-dL	urine_ACR
DBA/2J	m	000699fc25	18	NA	0	40.9	0
DBA/2J	m	00069a1e71	18	NA	0	126	0
DBA/2J	m	SC-2671	18	NA	0	129	0
DBA/2J	m	SC-2743	18	NA	0	77.5	0
DBA/2J	m	SC-2742	18	NA	1.87	65.5	29
DBA/2J	m	00068B2987	18	NA	2.14	55.8	38
DBA/2J	m	SC-2672	18	NA	3.43	64.7	53
DBA/2J	m	00069a1e02	18	NA	14.3	124	115
FVB/NJ	f	00068AF08C	18	NA	0	138	0
FVB/NJ	f	00068AF79C	18	NA	0	162	0
FVB/NJ	f	00068AFB25	18	NA	0	104	0
FVB/NJ	f	00068B1DB2	18	NA	0	83.2	0
FVB/NJ	f	00068B2732	18	NA	0	79.4	0
FVB/NJ	f	00069a14f5	18	NA	0.88	66	13
FVB/NJ	f	00068B14B6	18	NA	16.9	41.2	410
FVB/NJ	m	00068AF281	18	NA	0	156	0
FVB/NJ	m	00068B051D	18	NA	0	135	0
FVB/NJ	m	00068B2486	18	NA	0	175	0
FVB/NJ	m	00068B29D4	18	NA	0.41	62.1	7
FVB/NJ	m	00068D0C81	18	NA	4.76	145	33
FVB/NJ	m	00068AFF29	18	NA	17.5	175	100
KK/HlJ	f	00068CEDDD	18	NA	0	100	0
KK/HlJ	f	00068D2DEA	18	NA	1.33	100	13
KK/HlJ	f	00068D0875	18	NA	10.4	79.7	130
KK/HlJ	f	00069a0d99	18	NA	39.9	54.3	735
KK/HlJ	f	00068D042E	18	NA	85.6	49	1750
KK/HlJ	f	00068D4A75	18	NA	86	79.8	1080
KK/HlJ	f	000699fc28	18	NA	98.9	57.1	1730
KK/HlJ	f	00069a1dfb	18	NA	101	42.9	2350
KK/HlJ	m	00068CD8AD	18	NA	1.87	102	18
KK/HlJ	m	00068CEA69	18	NA	4.56	83.1	55
KK/HlJ	m	00068CE6FA	18	NA	7.07	96.2	73
KK/HlJ	m	SC-5462	18	NA	16.7	91.6	182
KK/HlJ	m	SC-5463	18	NA	35	85.8	408
KK/HlJ	m	SC-5464	18	NA	39.6	99.4	398
KK/HlJ	m	00068D00AB	18	NA	70.9	38.6	1840
LP/J	f	00069a0ae7	18	NA	0	98.9	0
LP/J	f	00069a1961	18	NA	0	77.6	0
LP/J	f	00069a2746	18	NA	0	110	0
LP/J	f	00069a2a49	18	NA	0	120	0
LP/J	f	00068CEA71	18	NA	0.99	73.3	14
LP/J	f	00068CF39F	18	NA	3.09	93	33
LP/J	m	00068AF5FC	18	NA	0	100	0
LP/J	m	00068AF905	18	NA	0	107	0
LP/J	m	00068AFE37	18	NA	0	90.4	0
LP/J	m	00068B00DF	18	NA	1.84	128	14
LP/J	m	00068B2984	18	NA	2.38	114	21
LP/J	m	00068B2AD2	18	NA	6.56	96.2	68
LP/J	m	00068B1FC5	18	NA	8.6	60.2	143
LP/J	m	00068B0661	18	NA	17.3	62.6	276
MRL/MpJ	f	00068B1D39	18	NA	0	44.4	0
MRL/MpJ	f	SC-3223	18	NA	0	17.1	0
MRL/MpJ	f	SC-3225	18	NA	0	30	0
MRL/MpJ	f	00068B14C4	18	NA	3.84	56	69
MRL/MpJ	f	SC-3219	18	NA	13.9	25	556
MRL/MpJ	f	SC-3217	18	NA	65.2	24.6	2650
MRL/MpJ	f	00068B23FF	18	NA	86.4	38.3	2260
MRL/MpJ	m	00068CE339	18	NA	0	65.4	0
MRL/MpJ	m	00068CEBC1	18	NA	0	56.7	0
MRL/MpJ	m	00068CF2AD	18	NA	0	41.8	0
MRL/MpJ	m	00068CFB9E	18	NA	0	26	0
MRL/MpJ	m	00068D04BF	18	NA	0	64.1	0
MRL/MpJ	m	00068D09C6	18	NA	0	21.8	0
NOD.B10Sn-H2<b>/J	f	000699fadd	18	NA	0	80.3	0
NOD.B10Sn-H2<b>/J	f	00069a1789	18	NA	0	84.7	0
NOD.B10Sn-H2<b>/J	f	SC-3397	18	NA	0	125	0
NOD.B10Sn-H2<b>/J	f	SC-3398	18	NA	0	110	0
NOD.B10Sn-H2<b>/J	f	SC-3399	18	NA	0	117	0
NOD.B10Sn-H2<b>/J	f	SC-6760	18	NA	0	118	0
NOD.B10Sn-H2<b>/J	f	SC-6762	18	NA	0	98.5	0
NOD.B10Sn-H2<b>/J	f	000699fd7a	18	NA	4.73	98.8	48
NOD.B10Sn-H2<b>/J	f	SC-6759	18	NA	6.77	98.2	69
NOD.B10Sn-H2<b>/J	f	SC-6761	18	NA	34	121	281
NOD.B10Sn-H2<b>/J	m	00069a2ad4	18	NA	0	107	0
NOD.B10Sn-H2<b>/J	m	00069a1ef4	18	NA	1.43	76	19
NOD.B10Sn-H2<b>/J	m	00069a0f3d	18	NA	1.53	78.5	19
NOD.B10Sn-H2<b>/J	m	00069a0465	18	NA	14.8	71.3	208
NOD.B10Sn-H2<b>/J	m	00069a2942	18	NA	20	93.8	213
NOD.B10Sn-H2<b>/J	m	00069a30c8	18	NA	43.8	75.7	579
NON/ShiLtJ	f	00068AFC77	18	NA	0	133	0
NON/ShiLtJ	f	00068B0A1B	18	NA	0	82.7	0
NON/ShiLtJ	f	00068B2344	18	NA	0	114	0
NON/ShiLtJ	f	00068B16AD	18	NA	1.97	123	16
NON/ShiLtJ	f	00068AFD06	18	NA	7.17	119	60
NON/ShiLtJ	f	00068B041C	18	NA	8.16	84.7	96
NON/ShiLtJ	f	00068B05C1	18	NA	50.3	63.3	795
NON/ShiLtJ	f	00068B225A	18	NA	99.5	26.4	3770
NON/ShiLtJ	m	00068B29F4	18	NA	0	110	0
NON/ShiLtJ	m	00068B1DED	18	NA	1.02	61.2	17
NON/ShiLtJ	m	00068B0F85	18	NA	1.56	171	9
NON/ShiLtJ	m	00068B2223	18	NA	3.54	98.7	36
NON/ShiLtJ	m	00068AFEF0	18	NA	4.56	107	43
NON/ShiLtJ	m	00068AF8B6	18	NA	4.66	102	46
NON/ShiLtJ	m	00068AFD93	18	NA	5.24	130	40
NON/ShiLtJ	m	00068B2835	18	NA	6.97	146	48
NZO/HlLtJ	f	00068B2001	18	NA	0.92	19.6	47
NZO/HlLtJ	f	00068CEF36	18	NA	0.95	20.9	45
NZO/HlLtJ	f	00068B1A43	18	NA	1.19	43.7	27
NZO/HlLtJ	f	000699fd1f	18	NA	1.43	18.1	79
NZO/HlLtJ	f	00068AF8BF	18	NA	8.81	49.5	178
NZO/HlLtJ	f	000699f5af	18	NA	11.6	55.4	209
NZO/HlLtJ	f	SC-3715	18	NA	92	75	1230
NZO/HlLtJ	m	000699ffed	18	NA	0	64.1	0
NZO/HlLtJ	m	00068B2653	18	NA	1.09	37.4	29
NZO/HlLtJ	m	00068B2B93	18	NA	4.76	71.8	66
NZO/HlLtJ	m	00069a283a	18	NA	4.93	72.4	68
NZO/HlLtJ	m	00068D1A2D	18	NA	6.32	41.8	151
NZO/HlLtJ	m	00068D08D7	18	NA	13.2	41.7	317
NZO/HlLtJ	m	00069a190f	18	NA	31.6	62.9	502
NZW/LacJ	f	00068AF715	18	NA	0	59.7	0
NZW/LacJ	f	00068B02BF	18	NA	0	85.2	0
NZW/LacJ	f	00068B1092	18	NA	0	68	0
NZW/LacJ	f	00068B14DF	18	NA	0	61.7	0
NZW/LacJ	f	00068AFF83	18	NA	2.75	56.5	49
NZW/LacJ	f	00068B0481	18	NA	75.5	59.5	1270
NZW/LacJ	m	00068B190A	18	NA	0	98.3	0
NZW/LacJ	m	00068CF88F	18	NA	0	85.1	0
NZW/LacJ	m	00068D22F7	18	NA	0	93.9	0
NZW/LacJ	m	00068D1391	18	NA	1.16	78.5	15
